flight_issues.flightnum,flight_issues.num_delays,flight_issues.avg_delay,flight_issues.total_delay,flight_issues.num_cancellations
1200,1690,23.83076923076923,40274,63
481,1148,35.079268292682926,40271,28
85,1394,28.86728837876614,40241,28
546,1556,25.84897172236504,40221,46
493,1865,21.564075067024127,40217,67
350,1406,28.566145092460882,40164,30
1509,1219,32.90730106644791,40114,17
615,1500,26.736,40104,52
688,1122,35.7174688057041,40075,55
837,1589,25.215229704216487,40067,29
1137,1239,32.29862792574657,40018,29
221,1417,28.191954834156668,39948,37
344,1499,26.63042028018679,39919,49
1285,1307,30.54169854628921,39918,55
491,1695,23.54631268436578,39911,65
371,1370,29.11970802919708,39894,51
830,1140,34.9859649122807,39884,35
820,1265,31.47905138339921,39821,35
1998,1202,33.125623960066555,39817,25
440,1561,25.49775784753363,39802,37
824,1714,23.21411901983664,39789,41
1,1918,20.725755995828987,39752,33
571,1293,30.71461716937355,39714,30
133,1441,27.55794587092297,39711,27
541,1449,27.391994478951002,39691,24
1195,1293,30.669760247486465,39656,30
32,1765,22.463456090651558,39648,89
628,1127,35.15705412599822,39622,23
766,1244,31.84646302250804,39617,31
1130,1664,23.80108173076923,39605,31
11,1288,30.749223602484474,39605,22
27,1608,24.614427860696516,39580,28
1179,1272,31.1061320754717,39567,12
116,1533,25.805609915198957,39560,39
778,1533,25.80234833659491,39555,42
584,1420,27.8556338028169,39555,30
1290,1271,31.10936270653029,39540,42
542,1383,28.550976138828634,39486,49
75,1576,25.0501269035533,39479,38
160,1324,29.81797583081571,39479,36
357,1294,30.404945904173108,39344,45
170,1332,29.526276276276278,39329,25
578,1360,28.902941176470588,39308,53
365,1430,27.47062937062937,39283,45
511,1465,26.77815699658703,39230,40
1189,1049,37.39561487130601,39228,59
392,1329,29.498118886380738,39203,61
734,1396,28.07163323782235,39188,53
98,1177,33.23449447748513,39117,26
611,1204,32.4609634551495,39083,47
478,1554,25.132561132561133,39056,30
470,1394,28.010043041606888,39046,51
50,1413,27.627034677990093,39037,22
209,1136,34.26056338028169,38920,24
367,1235,31.46072874493927,38854,40
1773,1291,30.095274980635168,38853,46
626,1212,32.01237623762376,38799,36
1021,1084,35.78690036900369,38793,38
177,1525,25.403934426229508,38741,26
768,1403,27.60727013542409,38733,80
933,1277,30.29444009397024,38686,45
1263,1293,29.870069605568446,38622,33
1631,982,39.26883910386965,38562,43
375,1247,30.91178829190056,38547,25
569,1492,25.812332439678283,38512,48
